level1,level2,level3,code
General Economics and Teaching,General Economics,General,A10
General Economics and Teaching,General Economics,Role of Economics; Role of Economists; Market for Economists,A11
General Economics and Teaching,General Economics,Relation of Economics to Other Disciplines,A12
General Economics and Teaching,General Economics,Relation of Economics to Social Values,A13
General Economics and Teaching,General Economics,Sociology of Economics,A14
General Economics and Teaching,General Economics,Other,A19
General Economics and Teaching,Economic Education and Teaching of Economics,General,A20
General Economics and Teaching,Economic Education and Teaching of Economics,Pre-college,A21
General Economics and Teaching,Economic Education and Teaching of Economics,Undergraduate,A22
General Economics and Teaching,Economic Education and Teaching of Economics,Graduate,A23
General Economics and Teaching,Economic Education and Teaching of Economics,Other,A29
General Economics and Teaching,Collective Works,General,A30
General Economics and Teaching,Collective Works,Collected Writings of Individuals,A31
General Economics and Teaching,Collective Works,Collective Volumes,A32
General Economics and Teaching,Collective Works,Handbooks,A33
General Economics and Teaching,Collective Works,Other,A39
"History of Economic Thought, Methodology, and Heterodox Approaches",General,General,B00
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,General,B10
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,"Preclassical (Ancient, Medieval, Mercantilist, Physiocratic)",B11
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Classical (includes Adam Smith),B12
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,"Neoclassical through 1925 (Austrian, Marshallian, Walrasian, Wicksellian)",B13
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Socialist; Marxist,B14
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Historical; Institutional; Evolutionary,B15
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Quantitative and Mathematical,B16
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,International Trade and Finance,B17
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought through 1925,Other,B19
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,General,B20
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Microeconomics,B21
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Macroeconomics,B22
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Econometrics; Quantitative and Mathematical Studies,B23
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Socialist; Marxist; Sraffian,B24
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Historical; Institutional; Evolutionary; Austrian; Stockholm School,B25
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Financial Economics,B26
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,International Trade and Finance,B27
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought since 1925,Other,B29
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought:  Individuals,General,B30
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought:  Individuals,Individuals,B31
"History of Economic Thought, Methodology, and Heterodox Approaches",History of Economic Thought:  Individuals,Obituaries,B32
"History of Economic Thought, Methodology, and Heterodox Approaches",Economic Methodology,General,B40
"History of Economic Thought, Methodology, and Heterodox Approaches",Economic Methodology,Economic Methodology,B41
"History of Economic Thought, Methodology, and Heterodox Approaches",Economic Methodology,Other,B49
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,General,B50
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Socialist; Marxian; Sraffian,B51
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Historical; Institutional; Evolutionary,B52
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Austrian,B53
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Feminist Economics,B54
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Social Economics,B55
"History of Economic Thought, Methodology, and Heterodox Approaches",Current Heterodox Approaches,Other,B59
Mathematical and Quantitative Methods,General,General,C00
Mathematical and Quantitative Methods,General,Econometrics,C01
Mathematical and Quantitative Methods,General,Mathematical Methods,C02
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,General,C10
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Bayesian Analysis: General,C11
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Hypothesis Testing: General,C12
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Estimation: General,C13
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Semiparametric and Nonparametric Methods: General,C14
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Statistical Simulation Methods: General,C15
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Methodological Issues: General,C18
Mathematical and Quantitative Methods,Econometric and Statistical Methods and Methodology:  General,Other,C19
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,General,C20
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions,C21
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes,C22
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Panel Data Models; Spatio-temporal Models,C23
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Truncated and Censored Models; Switching Regression Models; Threshold Regression Models,C24
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Discrete Regression and Qualitative Choice Models; Discrete Regressors; Proportions; Probabilities,C25
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Instrumental Variables (IV) Estimation,C26
Mathematical and Quantitative Methods,Single Equation Models; Single Variables,Other,C29
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,General,C30
Mathematical and Quantitative Methods,Multiple or Simultaneous Equation Models; Multiple Variables,Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions; Social Interaction Models,C31
